Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Senegal,1/14/2015,1,0
Guinea,1/14/2015,2806,1814
Spain,1/14/2015,1,0
Nigeria,1/14/2015,20,8
Sierra Leone,1/14/2015,10124,3062
Mali,1/14/2015,8,6
United Kingdom,1/14/2015,1,0
Sierra Leone,1/15/2015,10150,3067
Liberia,1/15/2015,8362,3556
United States of America,1/15/2015,4,1
Mali,1/15/2015,8,6
Spain,1/15/2015,1,0
Guinea,1/15/2015,2817,1821
United Kingdom,1/15/2015,1,0
Nigeria,1/15/2015,20,8
Senegal,1/15/2015,1,0
Spain,1/16/2015,1,0
Nigeria,1/16/2015,20,8
Guinea,1/16/2015,2825,1829
Mali,1/16/2015,8,6
Senegal,1/16/2015,1,0
Liberia,1/16/2015,8362,3556
United States of America,1/16/2015,4,1
Sierra Leone,1/16/2015,10186,3083
United Kingdom,1/16/2015,1,0
Nigeria,1/19/2015,20,8
Liberia,1/19/2015,8435,3587
United Kingdom,1/19/2015,1,0
Spain,1/19/2015,1,0
Guinea,1/19/2015,2873,1875
Sierra Leone,1/19/2015,10306,3132
Senegal,1/19/2015,1,0
United States of America,1/19/2015,4,1
Mali,1/19/2015,8,6
Spain,1/20/2015,1,0
United Kingdom,1/20/2015,1,0
Senegal,1/20/2015,1,0
Nigeria,1/20/2015,20,8
Liberia,1/20/2015,8478,3605
Guinea,1/20/2015,2871,1876
Mali,1/20/2015,8,6
United States of America,1/20/2015,4,1
Sierra Leone,1/20/2015,10340,3145
Sierra Leone,1/21/2015,10340,3145
Nigeria,1/21/2015,20,8
Liberia,1/21/2015,8478,3605
Spain,1/21/2015,1,0
Mali,1/21/2015,8,6
Senegal,1/21/2015,1,0
United States of America,1/21/2015,4,1
Guinea,1/21/2015,2871,1876
United Kingdom,1/21/2015,1,0
Liberia,1/22/2015,8524,3636
Senegal,1/22/2015,1,0
United States of America,1/22/2015,4,1
Nigeria,1/22/2015,20,8
Sierra Leone,1/22/2015,10362,3153
Mali,1/22/2015,8,6
Guinea,1/22/2015,2873,1879
Spain,1/22/2015,1,0
United Kingdom,1/22/2015,1,0
Sierra Leone,1/23/2015,10400,3159
Mali,1/23/2015,8,6
Liberia,1/23/2015,8524,3636
Spain,1/23/2015,1,0
Guinea,1/23/2015,2873,1880
Senegal,1/23/2015,1,0
Nigeria,1/23/2015,20,8
United States of America,1/23/2015,4,1
United Kingdom,1/23/2015,1,0
Senegal,1/26/2015,1,0
Sierra Leone,1/26/2015,10491,3195
Nigeria,1/26/2015,20,8
United States of America,1/26/2015,4,1
Guinea,1/26/2015,2909,1906
United Kingdom,1/26/2015,1,0
Mali,1/26/2015,8,6
Liberia,1/26/2015,8524,3636
Spain,1/26/2015,1,0
Mali,1/27/2015,8,6
Liberia,1/27/2015,8622,3686
United States of America,1/27/2015,4,1
Spain,1/27/2015,1,0
Nigeria,1/27/2015,20,8
Senegal,1/27/2015,1,0
Sierra Leone,1/27/2015,10518,3199
United Kingdom,1/27/2015,1,0
Guinea,1/27/2015,2917,1910
Senegal,1/28/2015,1,0
Liberia,1/28/2015,8622,3686
United States of America,1/28/2015,4,1
Sierra Leone,1/28/2015,10518,3199
Spain,1/28/2015,1,0
United Kingdom,1/28/2015,1,0
Mali,1/28/2015,8,6
Nigeria,1/28/2015,20,8
Guinea,1/28/2015,2917,1910
Mali,1/29/2015,8,6
Nigeria,1/29/2015,20,8
Spain,1/29/2015,1,0
Liberia,1/29/2015,8643,3700
United States of America,1/29/2015,4,1
Senegal,1/29/2015,1,0
Sierra Leone,1/29/2015,10537,3207
Guinea,1/29/2015,2921,1911
United Kingdom,1/29/2015,1,0
Spain,1/30/2015,1,0
Liberia,1/30/2015,8643,3700
Sierra Leone,1/30/2015,10561,3216
United Kingdom,1/30/2015,1,0
Senegal,1/30/2015,1,0
United States of America,1/30/2015,4,1
Guinea,1/30/2015,2920,1913
Nigeria,1/30/2015,20,8
Mali,1/30/2015,8,6
Liberia,2/2/2015,8668,3710
Sierra Leone,2/2/2015,10707,3274
United States of America,2/2/2015,4,1
Nigeria,2/2/2015,20,8
Senegal,2/2/2015,1,0
Guinea,2/2/2015,2959,1937
Mali,2/2/2015,8,6
Spain,2/2/2015,1,0
United Kingdom,2/2/2015,1,0
Guinea,2/3/2015,2975,1944
Mali,2/3/2015,8,6
Senegal,2/3/2015,1,0
Liberia,2/3/2015,8729,3739
Nigeria,2/3/2015,20,8
United Kingdom,2/3/2015,1,0
Spain,2/3/2015,1,0
Sierra Leone,2/3/2015,10740,3276
United States of America,2/3/2015,4,1
Sierra Leone,2/4/2015,10740,3276
Mali,2/4/2015,8,6
Liberia,2/4/2015,8745,3746
Guinea,2/4/2015,2975,1944
Spain,2/4/2015,1,0
United Kingdom,2/4/2015,1,0
Senegal,2/4/2015,1,0
Nigeria,2/4/2015,20,8
United States of America,2/4/2015,4,1
United Kingdom,2/5/2015,1,0
United States of America,2/5/2015,4,1
Mali,2/5/2015,8,6
Guinea,2/5/2015,2986,1947
Sierra Leone,2/5/2015,10756,3286
Nigeria,2/5/2015,20,8
Liberia,2/5/2015,8745,3746
Senegal,2/5/2015,1,0
Spain,2/5/2015,1,0
Nigeria,2/6/2015,20,8
Mali,2/6/2015,8,6
Spain,2/6/2015,1,0
Senegal,2/6/2015,1,0
Sierra Leone,2/6/2015,10792,3301
Liberia,2/6/2015,8745,3746
United States of America,2/6/2015,4,1
United Kingdom,2/6/2015,1,0
Guinea,2/6/2015,2988,1957
Guinea,2/10/2015,3044,1995
Spain,2/10/2015,1,0
Mali,2/10/2015,8,6
United States of America,2/10/2015,4,1
Liberia,2/10/2015,8881,3826
Senegal,2/10/2015,1,0
Sierra Leone,2/10/2015,10934,3341
United Kingdom,2/10/2015,1,0
Nigeria,2/10/2015,20,8
United States of America,2/11/2015,4,1
Nigeria,2/11/2015,20,8
Sierra Leone,2/11/2015,10934,3341
Guinea,2/11/2015,3044,1995
Senegal,2/11/2015,1,0
Liberia,2/11/2015,8881,3826
Mali,2/11/2015,8,6
Spain,2/11/2015,1,0
United Kingdom,2/11/2015,1,0
Guinea,2/12/2015,3068,2018
Sierra Leone,2/12/2015,10954,3350
Liberia,2/12/2015,8881,3826
Nigeria,2/12/2015,20,8
United Kingdom,2/12/2015,1,0
Mali,2/12/2015,8,6
Senegal,2/12/2015,1,0
Spain,2/12/2015,1,0
United States of America,2/12/2015,4,1
Sierra Leone,2/13/2015,10987,3363
Senegal,2/13/2015,1,0
Spain,2/13/2015,1,0
Mali,2/13/2015,8,6
Guinea,2/13/2015,3081,2032
United Kingdom,2/13/2015,1,0
United States of America,2/13/2015,4,1
Liberia,2/13/2015,8931,3858
Nigeria,2/13/2015,20,8
Liberia,2/16/2015,9007,3900
United States of America,2/16/2015,4,1
Mali,2/16/2015,8,6
United Kingdom,2/16/2015,1,0
Guinea,2/16/2015,3101,2052
Senegal,2/16/2015,1,0
Spain,2/16/2015,1,0
Sierra Leone,2/16/2015,11074,3401
Nigeria,2/16/2015,20,8
Nigeria,2/17/2015,20,8
Liberia,2/17/2015,9007,3900
United States of America,2/17/2015,4,1
Guinea,2/17/2015,3108,2057
Sierra Leone,2/17/2015,11103,3408
Spain,2/17/2015,1,0
Mali,2/17/2015,8,6
United Kingdom,2/17/2015,1,0
Senegal,2/17/2015,1,0
Sierra Leone,2/18/2015,11103,3408
United Kingdom,2/18/2015,1,0
Nigeria,2/18/2015,20,8
Spain,2/18/2015,1,0
Mali,2/18/2015,8,6
Liberia,2/18/2015,9007,3900
Senegal,2/18/2015,1,0
Guinea,2/18/2015,3108,2057
United States of America,2/18/2015,4,1
Nigeria,2/19/2015,20,8
United States of America,2/19/2015,4,1
Liberia,2/19/2015,9096,3947
Senegal,2/19/2015,1,0
Sierra Leone,2/19/2015,11155,3423
Spain,2/19/2015,1,0
Mali,2/19/2015,8,6
Guinea,2/19/2015,3115,2067
United Kingdom,2/19/2015,1,0
United Kingdom,2/20/2015,1,0
Liberia,2/20/2015,9096,3947
Guinea,2/20/2015,3120,2072
United States of America,2/20/2015,4,1
Nigeria,2/20/2015,20,8
Sierra Leone,2/20/2015,11155,3423
Mali,2/20/2015,8,6
Spain,2/20/2015,1,0
Senegal,2/20/2015,1,0
Liberia,2/23/2015,9229,4032
Senegal,2/23/2015,1,0
Spain,2/23/2015,1,0
United Kingdom,2/23/2015,1,0
Mali,2/23/2015,8,6
Sierra Leone,2/23/2015,11155,3423
Nigeria,2/23/2015,20,8
Guinea,2/23/2015,3155,2086
United States of America,2/23/2015,4,1
United Kingdom,2/25/2015,1,0
Sierra Leone,2/25/2015,11301,3461
Liberia,2/25/2015,9238,4037
Nigeria,2/25/2015,20,8
Mali,2/25/2015,8,6
United States of America,2/25/2015,4,1
Guinea,2/25/2015,3155,2091
Senegal,2/25/2015,1,0
Spain,2/25/2015,1,0
Mali,2/26/2015,8,6
Senegal,2/26/2015,1,0
Guinea,2/26/2015,3175,2101
Sierra Leone,2/26/2015,11341,3479
United Kingdom,2/26/2015,1,0
United States of America,2/26/2015,4,1
Liberia,2/26/2015,9265,4057
Nigeria,2/26/2015,20,8
Spain,2/26/2015,1,0
Sierra Leone,2/27/2015,11370,3490
Mali,2/27/2015,8,6
Nigeria,2/27/2015,20,8
United States of America,2/27/2015,4,1
Guinea,2/27/2015,3190,2113
United Kingdom,2/27/2015,1,0
Senegal,2/27/2015,1,0
Spain,2/27/2015,1,0
Liberia,2/27/2015,9265,4057
Guinea,3/2/2015,3205,2127
United Kingdom,3/2/2015,1,0
Sierra Leone,3/2/2015,11443,3530
Spain,3/2/2015,1,0
Nigeria,3/2/2015,20,8
Mali,3/2/2015,8,6
Liberia,3/2/2015,9265,4057
United States of America,3/2/2015,4,1
Senegal,3/2/2015,1,0
Liberia,3/4/2015,9265,4057
Nigeria,3/4/2015,20,8
Senegal,3/4/2015,1,0
United States of America,3/4/2015,4,1
Mali,3/4/2015,8,6
Spain,3/4/2015,1,0
Sierra Leone,3/4/2015,11443,3530
Guinea,3/4/2015,3205,2127
United Kingdom,3/4/2015,1,0
Nigeria,3/5/2015,20,8
United Kingdom,3/5/2015,1,0
Guinea,3/5/2015,3237,2141
Spain,3/5/2015,1,0
Liberia,3/5/2015,9249,4117
Senegal,3/5/2015,1,0
Mali,3/5/2015,8,6
Sierra Leone,3/5/2015,11497,3565
United States of America,3/5/2015,4,1
United States of America,3/6/2015,4,1
Mali,3/6/2015,8,6
Nigeria,3/6/2015,20,8
Liberia,3/6/2015,9249,4117
Sierra Leone,3/6/2015,11517,3576
Guinea,3/6/2015,3248,2147
Spain,3/6/2015,1,0
Senegal,3/6/2015,1,0
United Kingdom,3/6/2015,1,0
Guinea,3/10/2015,3285,2170
Mali,3/10/2015,8,6
Sierra Leone,3/10/2015,11619,3629
Spain,3/10/2015,1,0
United States of America,3/10/2015,4,1
United Kingdom,3/10/2015,1,0
Liberia,3/10/2015,9343,4162
Senegal,3/10/2015,1,0
Nigeria,3/10/2015,20,8
Guinea,3/11/2015,3285,2170
United States of America,3/11/2015,4,1
United Kingdom,3/11/2015,1,0
